"","c.0.269561161308676..0.936907672843465..0.332509668279941..0.653552639094966..","c.0.662382578532082..0.356595941673853..0.0108336732761515..0.0918978510145079..","c.0.385640285825174..0.854774711709528..0.0414853275216212..0.811810654948914..","c.0.906998898948852..0.157810764276673..0.873834954075623..0.413618927703555..","c.0.0333991570276495..0.692755923407445..0.290868362922953..0.244421394354487.."
"1",0.269561161308676,0.662382578532082,0.385640285825174,0.906998898948852,0.0333991570276495
"2",0.936907672843465,0.356595941673853,0.854774711709528,0.157810764276673,0.692755923407445
"3",0.332509668279941,0.0108336732761515,0.0414853275216212,0.873834954075623,0.290868362922953
"4",0.653552639094966,0.0918978510145079,0.811810654948914,0.413618927703555,0.244421394354487
"5",0.0353986153138056,0.189341715663326,0.86187281118533,0.599069432528091,0.397600720978562
"6",0.444590875118438,0.66234893268671,0.458920785660552,0.0588394992587237,0.965995309254782
"7",0.0885286822988029,0.1712675612234,0.262825289113696,0.302188122780134,0.142500752311224
"8",0.453898268960272,0.625205971180082,0.0101461125257858,0.606975442546732,0.724337578962555
"9",0.12359316793166,0.499159429964704,0.867974325774684,0.577010389201937,0.374880397299803
"10",0.345800466901572,0.920606233836929,0.593138996068529,0.183223385653961,0.0047768265797013
"11",0.493973300082804,0.0988087102546993,0.0569765125071819,0.0301361514817084,0.749724634154235
"12",0.900012993793869,0.328081330491886,0.105607025563358,0.364847670144171,0.961429741707419
"13",0.746688917096275,0.0698145217263974,0.127349674710004,0.891468779071694,0.603067411163251
"14",0.209873427873232,0.0773480673480857,0.484808744148207,0.539643890933641,0.629490968262455
"15",0.369252373375661,0.207271924991881,0.113733483936657,0.0073929951678837,0.095219982387613
"16",0.087339200113722,0.0155911693807339,0.277456291967249,0.556331432169601,0.85067527148315
"17",0.0338661716632591,0.737319993321462,0.122049915433754,0.338017893729472,0.356839211411805
"18",0.20577998649439,0.122768684023129,0.0958077074519702,0.545377174687362,0.0554788601035395
"19",0.529720524602338,0.93767820672364,0.588591651948516,0.0213232898349072,0.328604160639504
"20",0.9252817795107,0.26985560992486,0.451589829436617,0.986646193134041,0.718235283442079
"21",0.0504262908890179,0.498685455612429,0.0378352480161444,0.270913874317084,0.321427966113757
"22",0.753978762712029,0.144506916130947,0.26447655619051,0.323644178902513,0.251894043598858
"23",0.883474853742898,0.87141921682521,0.414658540671534,0.835473227278529,0.0977008081253905
"24",0.898636537184511,0.502580960204797,0.472103450259983,0.899492136383824,0.00266893153031173
"25",0.539496377026025,0.454679970139297,0.725173634251404,0.0240880684908098,0.890541909915726
"26",0.216140388788532,0.104772995550573,0.426036911843813,0.671506287611058,0.902816970467744
"27",0.0696433659366318,0.19188744683817,0.378674714271681,0.9679959439287,0.297164230452866
"28",0.475617072688208,0.409272123327309,0.938959768960098,0.57250300202025,0.0319960290670428
"29",0.0502893919894366,0.0155072693532957,0.148881211188131,0.0358366454854758,0.749729682077415
"30",0.541822678762943,0.483626686720058,0.249736305529913,0.0569504938280524,0.605058285695772
"31",0.046534160085584,0.114301861869753,0.206169485432185,0.235099917241914,0.104207029461381
"32",0.637725269279478,0.318363296141306,0.360078818337281,0.363605262482541,0.485533186746912
"33",0.181569175725465,0.621289764962974,0.189907489843913,0.234079618288934,0.884631181901118
"34",0.22179427646337,0.63052705846668,0.266859174224325,0.966717399496637,0.20900348126269
"35",0.935895383501882,0.377637173259921,0.710300762186903,0.468103436066363,0.669275580303464
"36",0.432717385428829,0.109115889882515,0.674586777318589,0.193584983145405,0.741189302185238
"37",0.275844995881307,0.0532249022839597,0.0538495548564023,0.437949265286217,0.67650396846852
"38",0.924029409300815,0.596818581372607,0.0148191086831171,0.0699984691988257,0.633991425272838
"39",0.112160613521963,0.237452373071519,0.251907118157421,0.21297749542639,0.295735033656983
"40",0.527107334039122,0.790576245733492,0.0828715807778675,0.0223989738634638,0.542255413806254
"41",0.597675734235798,0.257174460468701,0.0174886877782615,0.0226425697406261,0.036169261794502
"42",0.027221617982888,0.0324540200650452,0.2695915668016,0.0350442782885854,0.139850930271831
"43",0.0387842098424203,0.393821654114315,0.0830449945827054,0.484274178379234,0.138085159922519
"44",0.0433113886796474,0.506960153442854,0.158893493747417,0.154912532344066,0.682417480945161
"45",0.0572952049472013,0.239994117394392,0.284108638943693,0.229596213000288,0.192940898757072
"46",0.0850551530448111,0.040096193333653,0.90654315631803,0.190642969320947,0.191353307078817
"47",0.00103664996656786,0.85243224684597,0.500297663637185,0.209185778878758,0.0882178043719803
"48",0.920061957955728,0.266995188129937,0.109717429180549,0.516623224240587,0.0181336723383606
"49",0.441967487687608,0.33584112360186,0.521115527913805,0.123648540997665,0.904576460602881
"50",0.422879528844893,0.425918508719715,0.117049374032705,0.258513953129029,0.246477427723207
"51",0.868209235757826,0.808697897354152,0.116238711699974,0.694212908233229,0.559329895695674
"52",0.49177356025874,0.0371670146823247,0.0360352016737652,0.187689034646817,0.759218336307384
"53",0.161075643998831,0.0899626924415557,0.749847966205166,0.274292490794484,0.270525271694706
"54",0.142883349958989,0.0784759490831537,0.0537112119012055,0.00155018992342754,0.834192595386824
"55",0.0469723148727212,0.327125710972629,0.719455100146753,0.0193425098520812,0.643624312895312
"56",0.630968864634906,0.694949884193978,0.259098887963557,0.852586105003739,0.0550236385317969
"57",0.482267275421935,0.55386811844094,0.00409344902831899,0.0705738860543552,0.772204133102001
"58",0.385968056158583,0.362184673476296,0.639892013630752,0.33681586934032,0.153701196660816
"59",0.794847946733614,0.642087959738366,0.472924938022744,0.34098986701073,0.250558724390898
