"","c.0.00577645192170843..0.00184852900565019..0.0101984743266557.."
"1",0.00577645192170843
"2",0.00184852900565019
"3",0.0101984743266557
"4",0.00279578226991975
"5",0.00477046015068366
"6",0.0709313253675697
"7",0.000145881501821412
"8",0.00139368454653957
"9",0.136622536830889
"10",0.00162529699211859
"11",0.00715591205950595
"12",0.00288462274938392
"13",0.146488742072165
"14",0.0236461922395861
"15",0.0372856309853041
"16",0.00463310222912223
"17",0.000193201167426071
"18",0.00199277215303932
"19",0.00426638689605553
"20",0.0025436221389711
"21",0.0008784229369407
"22",0.10658491425355
"23",0.000148945417704424
"24",0.144695244634974
"25",0.00107297578598056
"26",0.00698085999458072
"27",0.00017210737081459
"28",0.000416716505410517
"29",0.000965630484922127
"30",1.80642488148561e-05
"31",0.00397232878174225
"32",0.00210999894099557
"33",0.000376475628543236
"34",0.00119863315784057
"35",0.0145470072260063
"36",1.89997158671285e-05
"37",0.00124147696818189
"38",0.000117862295571538
"39",0.0129909190737689
"40",3.01008561190574e-06
"41",0.0168133286944677
"42",0.000205337692963494
"43",0.000164238943601657
"44",5.64035587617677e-05
"45",0.0357138281488802
"46",0.0017615581234959
"47",0.0626144106145876
"48",0.0339808638016588
"49",0.000240268507237168
"50",0.112818776744192
"51",0.00129690162424711
"52",0.0386952694941442
"53",0.00186777916513174
"54",0.000163391393344578
"55",0.000641402972842972
"56",1.48927591198692e-05
"57",0.0164070091691202
"58",0.00251449998662568
"59",0.48150957719578
"60",0.00319375227690502
"61",0.129079668806664
"62",0.0425524524976238
"63",0.00455390539606403
"64",0.00146790661022648
"65",0.0551955568604335
"66",0.00845950689525006
"67",0.0772403827487358
"68",0.00191772229690565
"69",2.65059530495058e-05
"70",0.00123324469339053
"71",0.0813774849909084
"72",0.000228346972461581
"73",0.144774264997848
"74",0.016403595447836
"75",0.000619495156064659
"76",0.0334252465814882
"77",0.00932820344627361
"78",0.0100541284555826
"79",0.00104690356205282
"80",0.00107953510425609
"81",0.0414236207258786
"82",0.00284127927025784
"83",0.200657741032806
"84",0.197973783086394
"85",0.0315974183039771
"86",0.00968693517274218
"87",0.00760568526179575
"88",0.00855916743713065
"89",0.0482533564022715
"90",0.000440539055145742
"91",1.23501924090272e-05
"92",0.0166896101922523
"93",0.0316199502382973
"94",0.00248699643110603
"95",0.00128228771220666
"96",7.9214356310914e-05
"97",0.00347917480674953
"98",0.0970102016372941
"99",0.00411767938399603
"100",0.0112574070501925
"101",0.399160352147061
"102",0.00217010803742786
"103",5.85077813630738e-05
"104",0.00104673077985078
"105",0.093826670862288
"106",0.00828727419177561
"107",0.000832287958229268
"108",0.0135680885062535
"109",0.000971959288515623
"110",0.00693102943215195
"111",0.000468347672541251
"112",0.000206924688816105
"113",0.0228156738319802
"114",1.96578559618903e-06
"115",0.00419555278437055
"116",5.24390169838387e-06
"117",1.78355014934163e-06
"118",0.00351448271802151
"119",0.0149562829327101
"120",0.00223147362492314
"121",0.0177464468684886
"122",0.0424025380151328
"123",0.024512585238788
"124",0.000752524657277218
"125",0.00038147005781302
"126",0.013282220399338
"127",0.000764485978171222
"128",0.00354243495844624
"129",0.0286394568906621
"130",0.22314932737278
"131",0.0160511922662083
"132",0.186678350758791
"133",0.0639051519142094
"134",6.58777805808553e-05
"135",0.0236393056572527
"136",0.000427155050872306
"137",0.00244978756532156
"138",9.51519311105067e-05
"139",0.431187108712893
"140",0.00984470688913761
"141",0.0151403026899516
"142",0.00067286908448195
"143",0.136266468903496
"144",6.05533287814744e-05
"145",0.00183237252235325
"146",0.00873150875113627
"147",0.0273250324443246
"148",1.24415955559148e-06
"149",1.58743160579556e-05
"150",0.00274952016275001
"151",0.00478081837118288
"152",0.134202887934837
"153",0.000935214512857945
"154",0.00307472998202994
"155",0.00035411892772362
"156",0.0402464233156939
"157",0.000183450171091923
"158",0.0123542465160835
"159",0.000966092523718532
"160",0.00255732978412258
"161",0.294918206448979
"162",0.000466119775770163
"163",0.0143409849214559
"164",2.04828135495627e-05
"165",0.000755615743628442
"166",0.00161080467938736
"167",0.030094853109439
"168",0.0234965605598149
"169",0.0047297207008917
"170",0.20601926574482
"171",0.00178524777565033
"172",0.00209300413985128
"173",0.00250644300818491
"174",0.0316628227071493
"175",0.159105165073713
"176",2.45438991780428e-06
"177",0.00175595793019119
"178",0.0728789820659361
"179",0.046104283703059
"180",0.00110999757749149
"181",0.00912806622511699
"182",0.324115383439546
"183",0.00107095299202838
"184",0.0247770585915344
"185",0.000574796184030959
"186",0.0222407095223481
"187",0.357325609114363
"188",7.10797605353309e-05
"189",0.00518279337986991
"190",0.00058794035915959
"191",0.000940890514825398
"192",5.07442009151058e-05
"193",0.00102709484816383
"194",0.0315698157402923
"195",3.11213752714288e-05
"196",0.0434696325193949
"197",0.0856334569525801
"198",0.000918777113660192
"199",0.00166397502313571
"200",0.0026827376687422
