"","c.1.61602047949641e.05..0.000380838376157245..0.0201588940696905.."
"1",1.61602047949641e-05
"2",0.000380838376157245
"3",0.0201588940696905
"4",0.00242865834324893
"5",2.05253747245126e-06
"6",0.00520716211779539
"7",0.000808309606002812
"8",1.91002172616243e-05
"9",9.56797216529716e-05
"10",0.00625900571785187
"11",0.00307073487485053
"12",0.0201195486282725
"13",0.00354826564259341
"14",0.00326294785262041
"15",2.98343311515223e-05
"16",1.36695933208053e-05
"17",0.0489033153718033
"18",6.33598503630852e-07
"19",0.00105821983326468
"20",0.000571010173879759
"21",0.000311688605258955
"22",0.00204147905303006
"23",0.0792425131520509
"24",0.0820245391940632
"25",2.53331359245777e-05
"26",6.10589310610196e-06
"27",4.90817103468694e-06
"28",0.00925073534048601
"29",2.23706819891359e-05
"30",4.68633789175835e-05
"31",3.23568300664623e-07
"32",9.85311754779868e-05
"33",0.00649476614841478
"34",0.00641270976240814
"35",6.19511138907056e-05
"36",0.110368713815013
"37",0.000772447139950989
"38",0.13280336527341
"39",0.0552320340921169
"40",0.000172123679813801
"41",0.0130016452034322
"42",4.78565643755299e-05
"43",0.177409620561044
"44",0.00452044146203552
"45",0.00125829124041774
"46",0.0175900029979537
"47",2.75932144538874e-05
"48",7.86003706685769e-05
"49",0.0136550763979046
"50",4.73766998813829e-07
"51",0.00221125684060806
"52",0.011954700679399
"53",0.00195479925763513
"54",7.21509551312977e-05
"55",0.000145062113692098
"56",8.90869429918879e-05
"57",0.150115436276963
"58",0.000133161633986412
"59",5.69134570966333e-05
"60",2.37358073213374e-05
"61",0.00281218201924985
"62",0.000211652003889152
"63",4.12634943190316e-06
"64",0.000926007569227436
"65",0.000160929408262677
"66",8.15108651737284e-05
"67",0.00101054739442235
"68",0.0497932362684819
"69",0.000172963878053491
"70",0.00039153066147997
"71",0.000746907383059812
"72",1.63548010548181e-07
"73",0.00900830534631076
"74",0.000157413655966497
"75",0.0202167865502452
"76",5.51405534286874e-05
"77",0.000668781446935377
"78",0.00090500694293761
"79",0.00130321131710012
"80",2.04785931300348e-08
"81",0.0127220326521263
"82",2.92071577290575e-06
"83",0.00328806625232353
"84",0.0002330234376276
"85",0.00812301530102048
"86",0.00255297667957644
"87",0.0404447325164918
"88",0.00548708910620595
"89",2.7336711611849e-07
"90",2.49302019770149e-05
"91",0.000116419699193045
"92",0.00484035332437099
"93",0.00876296518480939
"94",0.00133973306364729
"95",0.0436423457875653
"96",9.74426467968055e-06
"97",0.000277923248974638
"98",0.0286588096355497
"99",0.000316860128092296
"100",0.131915097843347
"101",0.000629525972922699
"102",6.32844749919828e-05
"103",0.0012391067258431
"104",0.00275107429305079
"105",0.021437591194826
"106",0.000822937867775851
"107",0.0147497503949746
"108",0.0210688016505995
"109",1.03358412082154e-06
"110",4.64189959154531e-06
"111",8.31581542279436e-08
"112",0.00039968155551929
"113",0.0035274457936198
"114",0.000195344669411306
"115",0.119216250160257
"116",0.058241631240293
"117",0.000748363579117502
"118",0.0168618306520149
"119",0.0032730719298399
"120",6.50530525339979e-05
"121",0.0139810394040526
"122",0.546934025913958
"123",0.00529779795666535
"124",0.00674918153065692
"125",0.00551260268229796
"126",0.00400232221790366
"127",0.00645305190531511
"128",0.00926369485524338
"129",0.00164225334326823
"130",0.00208046874954872
"131",0.0123999775248018
"132",8.61464959883765e-06
"133",0.000374876329901822
"134",0.000734488534901072
"135",0.00830096836396887
"136",0.00344950940138986
"137",4.54925791641385e-05
"138",0.00129830011096732
"139",0.00191248417889346
"140",0.000956353462180491
"141",0.0011598665259981
"142",0.0203649720938612
"143",0.00714471137150583
"144",0.00747832366495345
"145",0.00641020655323396
"146",4.30697653582363e-05
"147",0.0328765906172413
"148",0.00489760851980977
"149",8.62875903341201e-05
"150",6.93467268442047e-07
"151",0.00175450881272566
"152",0.00282898668310399
"153",0.00354759428629332
"154",0.00568905375445754
"155",0.00431736386178334
"156",0.000315456505409276
"157",0.000477133498370829
"158",7.59610699097265e-06
"159",0.0303400035472987
"160",0.0494885408084048
"161",0.00336015667329283
"162",0.000111605113957269
"163",0.0247823029594367
"164",0.000215589400806306
"165",0.000113726505278179
"166",6.42308452339431e-05
"167",0.00642434693638454
"168",0.000663639783201712
"169",0.000464103131142682
"170",0.0021192166874573
"171",2.13734356269706e-06
"172",0.000275824416264191
"173",5.9369322245255e-06
"174",0.00813365146856576
"175",0.0205132666215351
"176",0.00511921660774941
"177",0.000178054404871742
"178",0.036018160849865
"179",0.0104612723598821
"180",0.000439423045728808
"181",0.0540782590085266
"182",0.00029991635149198
"183",2.87194491043886e-05
"184",0.000243868355695792
"185",0.0295343424212298
"186",3.48730593338868e-07
"187",0.00627841109111966
"188",5.60294720060182e-05
"189",0.00057440876796416
"190",0.0581820169617551
"191",0.00183599857764414
"192",0.0492990449593147
"193",0.00047319692496879
"194",2.77687113521216e-05
"195",0.00013068541809737
"196",0.000300640224395918
"197",0.000291459308758856
"198",0.027229215531012
"199",0.000472606482642133
"200",0.0126454924841924
