"","c.0.000249673549933398..0.000565371268160775..0.000819579287890486.."
"1",0.000249673549933398
"2",0.000565371268160775
"3",0.000819579287890486
"4",0.00420034741367486
"5",2.31815636963846e-06
"6",0.000259572571737249
"7",7.23433772483831e-05
"8",0.0405545434756275
"9",7.5850689875202e-05
"10",0.000373596090763239
"11",0.00205148462347455
"12",0.00469473315576738
"13",0.000383611102028514
"14",0.0216571524351572
"15",1.94173519687681e-07
"16",8.04420395277844e-05
"17",0.00332101880391136
"18",8.70322802442108e-06
"19",0.0248216925020595
"20",1.88463977991333e-05
"21",0.0842999056403768
"22",3.10709296778644e-06
"23",0.00984982195853607
"24",0.0866979775413882
"25",2.52869034725463e-05
"26",0.00773183971058404
"27",0.00144120624731071
"28",0.00302118774315277
"29",0.00597109322423086
"30",7.42924544898401e-05
"31",0.00131674630371823
"32",0.00177688674125888
"33",0.000507209014208942
"34",0.0290637749352847
"35",0.00681410999195989
"36",5.03787313589266e-05
"37",0.00256006713543254
"38",0.0981144377525603
"39",9.27915107753628e-05
"40",5.38816690195028e-05
"41",0.00918050940515423
"42",8.81247130551956e-06
"43",0.0141604429479284
"44",0.001162099590161
"45",0.00221092286080645
"46",1.52862221213263e-05
"47",0.000751490656244701
"48",1.71767593721087e-05
"49",2.7092264099057e-05
"50",5.74713567751945e-05
"51",0.0011020222888525
"52",0.00268127298167019
"53",0.000153300566078394
"54",9.54509632279326e-05
"55",0.00105798289431305
"56",0.00129668408284575
"57",6.42040486580362e-05
"58",4.97567730846044e-05
"59",1.08432877624638e-05
"60",0.0273910990656442
"61",0.000148592097832768
"62",3.3383052136215e-06
"63",0.000138004907358373
"64",1.69745299636051e-07
"65",0.000320090071154308
"66",3.71131855811557e-06
"67",0.00210013431101875
"68",5.71400983996066e-06
"69",0.00485987830254531
"70",0.000805067733208656
"71",0.000415177440526412
"72",0.000124811649725851
"73",0.00304821153918692
"74",0.010776596097327
"75",0.0328104934698994
"76",3.19025474265837e-06
"77",0.00601758860626452
"78",0.000205781111813798
"79",0.00493301208912963
"80",7.31358772153344e-07
"81",0.00874970870986799
"82",0.00161927277844275
"83",0.00818403370729166
"84",4.16410668250227e-05
"85",4.1755228841102e-05
"86",0.00152365357362802
"87",2.44462148305863e-05
"88",0.000473008424418314
"89",2.48321853722172e-10
"90",0.000461840582036749
"91",0.0118156711936446
"92",3.97262567230868e-05
"93",3.82929564898604e-05
"94",1.9325345983399e-05
"95",0.00551812617259946
"96",5.66848575522803e-05
"97",0.00137162457128887
"98",0.00277795721003308
"99",0.0223262995076886
"100",0.000474018148598269
"101",0.0175639510445064
"102",8.71645428127972e-05
"103",0.0123821173478353
"104",0.000118434530228686
"105",0.000844348557526388
"106",8.88364400533925e-06
"107",0.111232271884696
"108",0.00178325929744728
"109",0.00105232044978242
"110",6.009304841659e-06
"111",0.0297708069819708
"112",0.0045953648303019
"113",0.00245816326943049
"114",0.000671170457492668
"115",0.000642949847178722
"116",0.00190066560931325
"117",0.000397176638944186
"118",6.80634359950494e-05
"119",0.0141950111575207
"120",0.0020556959368898
"121",2.64205215638703e-05
"122",0.00103048624948089
"123",0.000393384916436579
"124",0.000145054198840327
"125",9.52304870916959e-05
"126",0.000695328261526931
"127",0.000197693788441375
"128",3.43208478762628e-09
"129",0.0111905598550358
"130",0.000589590677628016
"131",0.00412808876299479
"132",6.2037588597526e-05
"133",0.000440730327523155
"134",0.000300328451583938
"135",0.000649554579933711
"136",0.00269414804832722
"137",3.19431541167095e-06
"138",0.00102512726331877
"139",5.78260718354219e-05
"140",0.000601159421279378
"141",7.02302797185912e-05
"142",0.00187483857470807
"143",6.4612217895993e-06
"144",0.0383834355209489
"145",0.0146865363091748
"146",0.000129259823333945
"147",0.000850799752596926
"148",4.69411824747551e-05
"149",0.00407248528867219
"150",1.53366556299836e-06
"151",0.000129975578170111
"152",8.74019674961458e-07
"153",0.0100010670066494
"154",0.000133490328992087
"155",0.0921729951244727
"156",0.000220012773110749
"157",0.000680145968277353
"158",0.000400780179332976
"159",0.0180840363583172
"160",0.000908149796909739
"161",0.00210818588158289
"162",0.00532679111764035
"163",0.00065356572683013
"164",0.0378783213084541
"165",0.0312648117405735
"166",0.00104233572149275
"167",8.07309385794841e-07
"168",0.0419843910278945
"169",1.25535300134907e-06
"170",3.0119833154667e-07
"171",0.00260130252474737
"172",0.000367533134241224
"173",0.00179867291130925
"174",2.88697082198432e-06
"175",3.80987935435549e-07
"176",0.10305894122459
"177",0.000430620990677849
"178",0.00758233353396393
"179",8.07617660205825e-06
"180",4.59174168840016e-07
"181",8.81626916381654e-05
"182",0.00318621306582465
"183",1.76562368615662e-05
"184",0.00147705389220802
"185",0.00965938393469014
"186",0.000243814861714116
"187",0.000713661230774393
"188",5.27570929601921e-05
"189",0.000474369536196068
"190",0.00317266225375084
"191",0.057347020719546
"192",0.00556742124220653
"193",0.00640064806395398
"194",5.44206561072221e-05
"195",0.000294150887022525
"196",3.33744076476597e-06
"197",0.0809411304447453
"198",0.000119027269466267
"199",0.0118864979246874
"200",0.000114698214447296
