"","c.7.70314290610324e.05..0.024968793216333..0.247543302776721.."
"1",7.70314290610324e-05
"2",0.024968793216333
"3",0.247543302776721
"4",0.000408382756724092
"5",0.0868189814197289
"6",0.0118222146010232
"7",0.0231971011014368
"8",0.0131612321534082
"9",0.185110712222419
"10",0.00019249421072532
"11",0.000931043736733308
"12",0.00077663144563906
"13",0.0282326862443801
"14",0.00170043441817967
"15",0.000937332857058998
"16",0.0250872719675856
"17",0.00208914072420323
"18",0.0794928841176764
"19",0.000184439689465183
"20",0.0112881654914268
"21",0.00016172109285114
"22",0.00274580508228456
"23",1.66069872471215e-05
"24",0.0912974488581927
"25",2.271974043891e-05
"26",1.66157335647674e-07
"27",8.18768921193803e-05
"28",0.0299112539814995
"29",0.00503186193958395
"30",0.0486412064995892
"31",0.00340123601106257
"32",0.000593197583115909
"33",0.00646798768027484
"34",6.31769436897146e-05
"35",0.0160554051440301
"36",0.0193196631111735
"37",0.0905657297616826
"38",0.00333310144530444
"39",0.000339414547626036
"40",8.42671939365726e-05
"41",0.00243217361650406
"42",4.65581086461256e-05
"43",0.00581632765059716
"44",0.0451132654406002
"45",0.0380166149893913
"46",0.000242356071303262
"47",0.146396237163686
"48",0.000703151187233128
"49",0.0848327970757597
"50",0.00592507422162816
"51",0.0539187265805039
"52",0.00187648511180548
"53",0.00248286585569242
"54",0.0160590368062054
"55",0.00876288528108615
"56",0.00235554976979376
"57",0.000959830151946237
"58",7.52210474187052e-06
"59",0.000631431293092875
"60",0.000935068826150732
"61",5.14871613743261e-06
"62",0.00266630474215326
"63",0.0118885923037729
"64",0.000673211462788436
"65",3.89875569228997e-07
"66",0.0464388670896567
"67",0.0396702170430631
"68",0.00120499282319754
"69",0.00308633421838113
"70",0.000433360037629069
"71",0.0102710311854231
"72",0.0128838565398968
"73",0.000209334185055854
"74",0.178220637317072
"75",3.26214963271328e-05
"76",0.0533629367982665
"77",0.000478833042382313
"78",0.00351010692398934
"79",0.00241368169934565
"80",0.000140553591064286
"81",0.000250567087428382
"82",0.00034649668988971
"83",0.0019509965078627
"84",0.00181605889767632
"85",0.0469081574854881
"86",1.41317293362584e-05
"87",0.21403979842927
"88",0.000572955375253354
"89",0.00191525627647274
"90",0.0252217178910604
"91",0.00857933305486679
"92",0.10447201407181
"93",0.0678859580004761
"94",4.03721193738632e-06
"95",0.000111390101779872
"96",0.00604805407664074
"97",0.0060320505443017
"98",6.18911297812993e-06
"99",3.01364605792715e-05
"100",2.07754966402626e-05
"101",2.73056876914215e-05
"102",0.105462150108247
"103",0.00782759037163893
"104",1.20949667504233e-05
"105",4.78673195318706e-06
"106",0.0131864912960513
"107",0.0371673468479703
"108",0.00956332057963157
"109",0.000157254298376878
"110",0.0127928173544894
"111",0.0151720944804933
"112",0.000656539862430566
"113",0.018867801528309
"114",0.0839249392048619
"115",0.035445122859243
"116",0.0907130367354108
"117",0.000116719652982168
"118",0.0160575773821027
"119",0.00859730450298005
"120",0.0338636243916652
"121",0.012989737511897
"122",0.000209054045181167
"123",0.0239217886807225
"124",0.000802657587244339
"125",0.0348491724030581
"126",0.010491682190734
"127",0.000359703432404159
"128",0.0584960756682618
"129",0.00341632624874843
"130",4.12516576749454e-06
"131",0.000354491588027889
"132",0.00184466767418087
"133",0.00806037571825433
"134",0.00748882624221075
"135",0.126262111365154
"136",0.0116430995500098
"137",0.000429475822754412
"138",0.00472501918405653
"139",0.00289727267324516
"140",0.124296093082772
"141",0.028054442670509
"142",0.350999551478381
"143",1.57279957743181e-05
"144",0.104248911567133
"145",0.000308027450642053
"146",0.0022302228616334
"147",0.00132576055370997
"148",0.000839864427928262
"149",0.13346013263455
"150",0.000143495246988807
"151",0.0208026712089465
"152",9.34243665162663e-06
"153",0.00261263940266921
"154",0.0275957320774125
"155",1.32090095863539e-06
"156",1.51036209467573e-05
"157",0.107760917260149
"158",0.0101176683152909
"159",0.0037102252504857
"160",0.000771141909197725
"161",0.00532297436959415
"162",0.0133828462451989
"163",0.0180512006874127
"164",0.089511052814787
"165",0.00835518641826162
"166",0.0245704703501975
"167",0.00138781535014453
"168",0.0063659063239781
"169",0.0839940562162144
"170",0.220902662491327
"171",0.0160141632659769
"172",0.000712092949097537
"173",0.0144613141054349
"174",0.000437893851016116
"175",0.0583044311710185
"176",0.000110020719992923
"177",0.000556083629876162
"178",0.0142901950781989
"179",0.0990150291819307
"180",0.0011843814073704
"181",3.26341030412451e-05
"182",0.00593312096536864
"183",0.000479332722592239
"184",0.000363925568787612
"185",0.0101872620859751
"186",0.000322960123430924
"187",0.00312230967752858
"188",0.119112414622797
"189",0.00570043297534785
"190",0.000694641522501989
"191",0.00248388143777662
"192",0.01208334016011
"193",0.0513433198160783
"194",0.00335029705374418
"195",0.0376537911286323
"196",0.0520678291872569
"197",0.00164234416499681
"198",0.000429585449299232
"199",0.191585907583962
"200",0.00155346778206404
