"","c.0.00541155587287932..0.00016421826873073..0.168213415864182.."
"1",0.00541155587287932
"2",0.00016421826873073
"3",0.168213415864182
"4",0.0116007562625113
"5",0.0672184118331777
"6",0.0148165583015434
"7",0.0234344186309318
"8",0.0579400819095698
"9",0.00103745423376157
"10",0.285742656606344
"11",0.00452528224751421
"12",0.0764987743113142
"13",5.80875612545925e-06
"14",0.0111682763297465
"15",0.000477901342265681
"16",0.128099034382815
"17",0.00639509684028978
"18",0.024402524631375
"19",0.121937416146776
"20",0.0015125302781141
"21",0.000373158268522637
"22",0.0019762249631791
"23",0.0048336412343728
"24",0.0413100154355134
"25",0.000916340569667783
"26",0.00859082178297722
"27",2.18574959408581e-05
"28",0.00408698724106827
"29",0.171195311522832
"30",0.0420082061004301
"31",0.0468245920814569
"32",0.00221265560941135
"33",0.000761202248925588
"34",0.189195280870055
"35",0.000250180356195718
"36",0.00105717326617241
"37",0.0434520031664967
"38",0.0110697748722969
"39",0.00378727118211601
"40",0.000442218997432599
"41",0.00214085814120894
"42",0.0423614282843463
"43",0.0175712652215887
"44",0.0993218948839624
"45",0.0355502872730241
"46",0.402033545563326
"47",0.157245879973027
"48",0.271622502034391
"49",0.00138798236300656
"50",0.000483647739386968
"51",0.00413240639784692
"52",0.0114453981594716
"53",0.377525489960254
"54",8.44447916179876e-06
"55",0.0381849371349327
"56",0.0130390842870489
"57",0.0406191538083995
"58",0.00024686254336362
"59",0.0109133940236542
"60",0.00470107617159805
"61",0.00841355555519481
"62",0.00995767859602241
"63",0.0123955002349741
"64",0.0599225299793764
"65",0.0675684828631629
"66",0.00194441438188495
"67",0.117603283587787
"68",0.156332032921028
"69",0.00493520433502516
"70",0.0609229096926896
"71",0.0151986485678035
"72",0.0267633906754946
"73",0.00379795448278244
"74",0.000247250813275358
"75",0.0901131643275546
"76",0.00829109943993052
"77",0.0478041892242727
"78",0.00809069255610421
"79",3.309683317775e-05
"80",8.63512819311536e-05
"81",0.00315663100315414
"82",0.0187487797133644
"83",0.00401552017051001
"84",0.000324748329943783
"85",0.282673508083001
"86",0.0816705085355896
"87",0.000565804480566584
"88",0.00934574766649239
"89",0.0189535216743261
"90",0.0921315041045416
"91",0.00927845507668763
"92",0.00344549289065559
"93",0.000262045104069748
"94",0.0503743651165294
"95",0.0117297209253
"96",0.00160459977482621
"97",0.00913653417809407
"98",0.000112970257905377
"99",1.6469065348237e-05
"100",0.321424258098862
"101",0.00079508635099905
"102",0.153270707297437
"103",0.00571188316479694
"104",0.112094908659998
"105",0.0758245177534477
"106",0.00151780207364391
"107",0.0103139552698401
"108",0.0104080852869284
"109",0.0026508554154034
"110",0.00318193288949204
"111",0.00613187754126717
"112",0.0763790949397814
"113",0.0266294241877713
"114",0.0460285782961026
"115",0.00342502403896322
"116",0.00637222910607543
"117",0.165331971582681
"118",0.0100959065207558
"119",4.27356639161479e-05
"120",0.216316572488122
"121",0.0318186862191332
"122",0.116730121021473
"123",0.000536557056223464
"124",0.153314765079878
"125",0.0493445654509035
"126",0.00130645885356789
"127",0.144583577602099
"128",0.000114898827663018
"129",0.00592503857178689
"130",0.00025306476149485
"131",0.0183978656275632
"132",0.00993027670753521
"133",0.000909474551666687
"134",0.017159070197867
"135",3.99904318578137e-05
"136",0.00578210542768894
"137",0.000597947503341161
"138",7.51584734220312e-05
"139",0.00250993715197541
"140",0.0945616027712852
"141",0.0784714920470339
"142",0.00694003526667906
"143",0.0127163172933966
"144",0.141014763011894
"145",0.0307432417890611
"146",0.0131203119020732
"147",0.000460532466871873
"148",0.0115609762242609
"149",0.0031713739923294
"150",0.0158936669084606
"151",0.600959794457617
"152",0.020321190955841
"153",0.0246466494180036
"154",0.00987305051363434
"155",0.0019246419070916
"156",0.0199944208627373
"157",0.0114357491976514
"158",0.0655360726311589
"159",0.0828530959204815
"160",0.326250428807684
"161",8.07015435439662e-07
"162",0.00762065826703425
"163",0.599851497410382
"164",0.00125855396873161
"165",0.00521751766012458
"166",0.12620745799305
"167",0.000272101617016909
"168",0.0409882293695603
"169",4.42272431220374e-06
"170",0.0812622253861375
"171",0.000597167480026025
"172",0.133470303522754
"173",0.00807785868203595
"174",0.00800859356791445
"175",0.0161146965547081
"176",0.0129941827223309
"177",0.0586715522478041
"178",0.297074837905808
"179",0.000789551554068049
"180",0.00186826872575754
"181",0.00704303199442634
"182",0.0560614212631595
"183",0.140455448511399
"184",0.00123825275379961
"185",0.000220342641448895
"186",9.89788061522301e-05
"187",0.399891235232958
"188",0.00426672543911728
"189",0.0408570857998611
"190",0.0429422673621769
"191",0.00381399327958587
"192",0.000516404920551873
"193",0.00127233752428478
"194",0.0942411690352838
"195",0.278925214051431
"196",7.61916234605495e-05
"197",0.748235102936966
"198",0.00417821181907672
"199",0.0253618445086617
"200",0.00534598245103252
