"","c.0.000333176737260234..0.0270713307304246..0.0124285616837317.."
"1",0.000333176737260234
"2",0.0270713307304246
"3",0.0124285616837317
"4",0.0880237525674901
"5",0.21251083378454
"6",0.582316247810693
"7",0.085909528168453
"8",0.059331214374534
"9",0.0308859898741213
"10",0.16220587613039
"11",0.00977655836275539
"12",0.00421513666065948
"13",0.165531552820108
"14",0.0421156490023797
"15",0.281697821658028
"16",0.0315499048116364
"17",0.450465300888282
"18",0.899467048654239
"19",0.00407511201654004
"20",0.0202059704300751
"21",0.0625101458260357
"22",0.100954950777185
"23",0.0253956482985615
"24",0.233235236435523
"25",0.00939578158995051
"26",0.00523945629087925
"27",0.0184963946020042
"28",0.000942202607314404
"29",0.0153710541026497
"30",0.000809287073239312
"31",0.000218749148350756
"32",0.000643597137499454
"33",0.0201601657336435
"34",0.133086026082084
"35",0.246759584120061
"36",0.0614301896344162
"37",0.0212677836891419
"38",0.0392123655614976
"39",0.0151893680846005
"40",1.71474114829446e-05
"41",0.00155680336400657
"42",0.0119900937767597
"43",0.0148796711059242
"44",0.0161965794680896
"45",0.00885282527278964
"46",0.0325830958574704
"47",2.18992469002561e-06
"48",0.041288785501616
"49",0.0784986733424786
"50",0.374271598286055
"51",0.000168498171761255
"52",9.9554816103052e-05
"53",0.0187193598861905
"54",0.177301721377472
"55",0.0930124349803277
"56",0.181443233419
"57",0.00253864762965149
"58",0.223404937332154
"59",0.255115931860234
"60",0.000990769472511681
"61",0.00612979838974676
"62",0.000130996563281897
"63",0.00337419695164508
"64",0.05204598510196
"65",0.153898440256287
"66",0.0631251334334523
"67",0.000847735924543932
"68",0.583590497602155
"69",0.206931806616945
"70",0.0338854896557532
"71",0.0114355675988716
"72",0.0125619592027494
"73",0.0626310801219575
"74",0.00964091398431386
"75",0.000957950810226268
"76",0.000508019939225323
"77",0.00933932705584194
"78",0.0199866260755
"79",0.000451704979982399
"80",0.032162649947556
"81",0.0320226668997954
"82",0.000644056913453381
"83",0.0139722053590659
"84",0.055831728799195
"85",0.012463273042755
"86",0.116903362099671
"87",4.48963709289765e-05
"88",0.0132492138675815
"89",0.0298606832854054
"90",0.0476604012040214
"91",0.0211286729403881
"92",0.37589562215213
"93",0.000655634713536736
"94",0.120434094971572
"95",0.257777257342723
"96",0.510628455454517
"97",0.00199172972438221
"98",0.0146103654061677
"99",0.00444046632699972
"100",0.0336985108168393
"101",9.39092883302968e-05
"102",0.0884700083626323
"103",0.462949738189469
"104",0.0317194698739609
"105",0.011210777616238
"106",0.0032291706364287
"107",8.93332812429241e-05
"108",0.347810565096287
"109",0.0208729397505741
"110",0.0593435314336235
"111",0.00433762585942072
"112",0.00241724658215078
"113",0.173844451476534
"114",1.26595732013133e-06
"115",0.217444796673231
"116",0.0037313655573251
"117",0.00118726931954326
"118",0.163192264593063
"119",0.021033188248712
"120",0.00013731906990183
"121",0.000402026893164426
"122",0.000738665353670882
"123",0.00673538024909862
"124",0.000107425815190156
"125",0.018592710514443
"126",0.00335250581748189
"127",0.000941480466519682
"128",0.0169524533774826
"129",0.0708118002247097
"130",0.0585418436167045
"131",0.0108385950626221
"132",0.0703203157766861
"133",0.000912530158566567
"134",0.000390965076448628
"135",0.0286669713048065
"136",0.00216152266166774
"137",0.633623281199512
"138",0.00846420633933367
"139",0.00368412885039554
"140",1.92750147051219e-05
"141",0.00168963570858946
"142",0.0931190577740519
"143",0.0015896532856165
"144",0.00327590088383962
"145",0.102378391088419
"146",0.158758733415879
"147",0.0048276601618611
"148",0.00265923786921403
"149",2.29036965562214e-06
"150",0.163112155576451
"151",0.0414951247742991
"152",0.0361217333959534
"153",0.105515464882108
"154",0.000420630569199021
"155",0.00992532926977044
"156",0.0260936493884395
"157",0.172344975179159
"158",0.00603605514299414
"159",0.000712895573266006
"160",0.0101103972698382
"161",0.000858643307780294
"162",0.0428624578051206
"163",0.0295699846080581
"164",0.000110695398609522
"165",0.0799841694565828
"166",0.0380816398326293
"167",0.00161912006088799
"168",0.18222378540953
"169",0.0543748757675447
"170",0.133941494033497
"171",0.100259009432976
"172",0.001961610699216
"173",0.000212057695190853
"174",0.0122649270819306
"175",0.00206691482138795
"176",0.000893771641933291
"177",0.0244636671624988
"178",0.000593466169091281
"179",0.0600732061249632
"180",0.000401604204975306
"181",0.0290457860836068
"182",6.55116293343394e-05
"183",0.0159643019187031
"184",0.0105267652328266
"185",0.0190909276750156
"186",0.0886741802460111
"187",0.120887300946989
"188",0.0313045148275463
"189",0.01152965447128
"190",0.0104010961521768
"191",0.0063569128134021
"192",0.00716716268307815
"193",0.0111792442228701
"194",0.00917892109925398
"195",0.0264022777246175
"196",0.0147405390559445
"197",0.000809277427972315
"198",0.0181118849767223
"199",0.00420214093116395
"200",0.00197840490840729
