"","c.0.000133864746844855..7.82975986024939e.06..0.000222755840263822.."
"1",0.000133864746844855
"2",7.82975986024939e-06
"3",0.000222755840263822
"4",5.60323129280106e-06
"5",9.56109306077505e-06
"6",0.000427292668400855
"7",0.000112470175532397
"8",5.98053167829494e-09
"9",0.00113006909647934
"10",0.000307869563414397
"11",0.00109207292009594
"12",0.00291746190223816
"13",0.000138700783711784
"14",7.72931010374461e-06
"15",0.00209632406102095
"16",8.65392326987458e-05
"17",0.000151984173799496
"18",0.0157732064705838
"19",0.0160715916005937
"20",0.000156642399820166
"21",2.53751022901396e-06
"22",5.74836602312241e-05
"23",2.06493185794728e-05
"24",0.00249050183235879
"25",2.7590815620921e-05
"26",2.93396293366523e-05
"27",2.88654502164395e-05
"28",0.000132770121255313
"29",0.000731667750843943
"30",0.000433552141253269
"31",4.17211851964932e-06
"32",1.38542755916989e-06
"33",2.83956117845002e-05
"34",2.96969370704609e-05
"35",6.95708580209308e-05
"36",0.00158527695424907
"37",0.011258857377069
"38",6.32200264413958e-05
"39",0.000314362416703582
"40",0.000398224514720314
"41",1.34397160645134e-05
"42",0.00156023474433088
"43",0.00134033048974291
"44",0.000178747972775858
"45",1.1501902662473e-07
"46",1.13426304928822e-09
"47",0.0148257349228675
"48",8.08923221036691e-06
"49",0.000967268802879138
"50",0.000294338584094846
"51",0.00115010072892606
"52",0.00116458822395183
"53",0.000133422581604891
"54",0.00113922781228815
"55",0.000168580834524945
"56",0.0175778814829718
"57",0.225086859742238
"58",1.07193631496747e-06
"59",0.00273041306620091
"60",0.00633925768473928
"61",0.00547353464896945
"62",3.96507118170758e-07
"63",0.00327228553628556
"64",1.81197262381957e-05
"65",0.00350482365848155
"66",1.43040885101847e-05
"67",0.00111321349337083
"68",2.42283839913959e-06
"69",0.000688837112743209
"70",0.00177871444531556
"71",0.000115382161875037
"72",0.000278208487931998
"73",0.00731763423542668
"74",4.21623320716851e-05
"75",0.000113257807615435
"76",1.30515758695979e-05
"77",0.270686808217079
"78",0.00226635443450153
"79",4.07501655389215e-10
"80",0.101088383763167
"81",0.0177682888775986
"82",1.61542078400771e-06
"83",1.2565768989219e-05
"84",2.29439378170195e-07
"85",2.02456706246956e-05
"86",0.000137129597440914
"87",0.00904553752153014
"88",0.000260436167751914
"89",0.00856407246855315
"90",0.000520788224813402
"91",0.000187251239928256
"92",0.00102894290291361
"93",6.17350606272628e-06
"94",0.00211179986230721
"95",0.000564935400443608
"96",7.65265058160981e-06
"97",0.000372574252967633
"98",1.19115148576018e-06
"99",1.52662667822537e-05
"100",2.65834552841088e-06
"101",2.72717691543416e-05
"102",0.00295523654394998
"103",0.000312329014304663
"104",0.000105584703242418
"105",0.00616790595976511
"106",2.64595772961886e-07
"107",3.23844013269217e-05
"108",0.00197904220880304
"109",0.000764512553727189
"110",2.36113778594356e-05
"111",7.57178703592418e-05
"112",0.00682767219496667
"113",0.0016748745377167
"114",0.000164505737487629
"115",7.39716946486677e-05
"116",0.000101448039980025
"117",9.2395797342062e-06
"118",0.0126402018676686
"119",1.59686623223797e-05
"120",0.00100213453643939
"121",8.91261989974722e-07
"122",2.74494037116573e-07
"123",0.00229424973357213
"124",0.00897552829037154
"125",4.09321893444297e-05
"126",0.000181435490850006
"127",5.78835380387303e-06
"128",0.00014024672526002
"129",0.00521057433849311
"130",0.00173977702906824
"131",0.00746547737987438
"132",0.000617313085388127
"133",0.000333542918335691
"134",0.00118622608891956
"135",0.00990904171676972
"136",1.26216024349183e-05
"137",0.000716481091898
"138",0.0592528715446928
"139",0.000385998978490332
"140",0.00549026697557506
"141",7.82162989923596e-07
"142",0.000205199943906413
"143",0.000928363271346659
"144",0.00268555156322887
"145",0.000113251191317511
"146",0.00116073351912748
"147",0.00158569581491535
"148",0.000196822408363962
"149",0.000511966333340979
"150",8.48645077071641e-06
"151",3.35136704626206e-05
"152",1.99205419854396e-05
"153",0.000497127561712276
"154",1.32541421862477e-05
"155",0.000161404087533066
"156",0.00242721607873445
"157",0.000115977006927994
"158",0.000323562731915224
"159",0.00034022871486499
"160",0.000186203247264569
"161",0.00191172806004805
"162",0.000540458654774278
"163",3.34687187548268e-05
"164",0.00019431572531203
"165",1.09185771351821e-05
"166",0.000188022399506324
"167",0.000828014727757178
"168",0.00273091610195012
"169",0.00164355817943833
"170",3.04027783060707e-05
"171",0.000344518941239059
"172",2.04927502863912e-05
"173",2.75825213869275e-06
"174",0.000961428953125161
"175",2.0479541180986e-05
"176",1.33894303992181e-05
"177",5.74071815804484e-06
"178",0.00163919492905576
"179",0.0017626470479093
"180",0.000190524480945234
"181",0.00437207930072026
"182",0.0144904579843667
"183",2.4282599153885e-06
"184",0.00521599022475091
"185",0.000167263249630269
"186",2.4518363332599e-05
"187",0.00011619538486077
"188",0.000320079026159135
"189",0.000198934495280808
"190",1.48924390725197e-05
"191",0.000422754929643341
"192",1.598951451905e-05
"193",0.397824278911852
"194",9.53751216221772e-09
"195",1.87842169885957e-07
"196",3.72750571371115e-05
"197",0.00279569884028805
"198",0.000781792211744635
"199",3.68457669342537e-05
"200",1.90502102738902e-05
