"","c.0.000150647285487482..0.000499131141279182..0.000186549388602248.."
"1",0.000150647285487482
"2",0.000499131141279182
"3",0.000186549388602248
"4",2.7606010414363e-07
"5",2.57420317796069e-05
"6",0.000522779034863863
"7",0.00086095809009653
"8",0.00806579889755131
"9",1.26947324738166e-05
"10",0.00143178355770376
"11",0.00010022093675306
"12",1.38705837944691e-06
"13",0.00019688823464947
"14",6.59165635874435e-09
"15",0.00295152012042333
"16",3.97645593549816e-05
"17",2.40028468390118e-06
"18",1.6295260365171e-05
"19",0.000322981504189931
"20",0.000232583104941012
"21",2.39241907180664e-05
"22",0.00010237905119266
"23",1.01041256748306e-06
"24",8.0897061609569e-06
"25",3.74041812382221e-05
"26",0.000106328014029357
"27",0.00076883423987613
"28",4.9871308899568e-06
"29",0.00024993508685462
"30",2.49322460426092e-05
"31",0.000267323781053359
"32",0.000559002060748397
"33",0.00553517393459503
"34",0.000814008729720533
"35",0.0189093769400479
"36",4.09292645133291e-05
"37",1.08749657309929e-06
"38",0.00148155325029432
"39",0.0979156526987438
"40",0.000377242566715945
"41",9.88132603277276e-05
"42",0.000456621447581908
"43",3.14546485029824e-05
"44",0.000539256908546244
"45",0.0641126828089951
"46",0.00144837176310366
"47",0.00455016152139126
"48",0.00595142676773955
"49",0.00236116571180641
"50",0.0305551421660845
"51",1.75140115757186e-08
"52",0.238660646656617
"53",4.52758149822477e-05
"54",1.40151775816263e-07
"55",4.47419710296873e-07
"56",2.96464729818623e-06
"57",7.09765683715458e-06
"58",0.00234321596183353
"59",4.47062617631028e-05
"60",1.40780811009788e-08
"61",0.00237010474426142
"62",0.046067366233153
"63",0.000150324070279912
"64",0.000459636749347893
"65",0.000169077056038015
"66",1.69956650091476e-05
"67",1.50044961447414e-05
"68",0.000231590785391467
"69",0.000109604053250376
"70",0.000250103909210201
"71",0.001020091361869
"72",0.000895874107032355
"73",0.000993454527543449
"74",2.33962684729259e-07
"75",4.00759472343175e-06
"76",1.11495953263998e-06
"77",1.63581192865265e-05
"78",0.000234423855624272
"79",0.000509585469948851
"80",0.000110405058269913
"81",3.63841143216798e-10
"82",0.000642982065810228
"83",0.000928877639455944
"84",0.000198757226836465
"85",0.00798661656070111
"86",1.27419517392514e-05
"87",0.000108700336751441
"88",8.91717144531471e-07
"89",0.011452341640642
"90",0.00567094431141197
"91",7.58708194785945e-06
"92",0.000207953298080605
"93",0.000227970822108911
"94",1.53156060533267e-06
"95",6.94243627804926e-05
"96",2.20457375383958e-09
"97",1.3564890694037e-05
"98",2.97377515951702e-06
"99",7.57952025074035e-07
"100",0.00678942395748382
"101",8.53962593389757e-09
"102",0.000107342131022755
"103",8.9110415791398e-06
"104",0.000148741922480874
"105",0.00334719197709316
"106",1.88036571764069e-07
"107",0.00130761595204782
"108",0.000142267429082286
"109",0.000621463284692062
"110",0.000143213708488389
"111",3.2568783455448e-05
"112",7.26138976933497e-05
"113",1.09442391899019e-05
"114",0.213577210915262
"115",0.000169514843481778
"116",0.000128965434690909
"117",4.48916576286774e-05
"118",0.000407696604628433
"119",1.84745980350853e-05
"120",2.81495009566342e-05
"121",0.000243000151043044
"122",0.00386156670493506
"123",4.07904047810682e-05
"124",0.161927150675505
"125",0.000234977772428852
"126",0.000198995487950845
"127",0.000276859530489257
"128",0.000212341557980997
"129",0.046618436817996
"130",0.000244247426755828
"131",0.00341971506267687
"132",3.47234439197828e-05
"133",0.000168358137024766
"134",0.0409204350434359
"135",0.000586919325181301
"136",0.00201615175172497
"137",9.95995760382536e-05
"138",0.00215966483769906
"139",8.05122030166177e-05
"140",0.00135180057609185
"141",3.66518447464273e-07
"142",2.60666669585411e-05
"143",2.6689205058521e-07
"144",0.000175162498262209
"145",0.000236270521249312
"146",0.00949234245741499
"147",0.00177562811396622
"148",5.19531920382306e-05
"149",0.000920882786159146
"150",7.78642941520466e-07
"151",8.49503273282153e-08
"152",0.00501070420868186
"153",0.000242378422913808
"154",0.00308315538496393
"155",0.000904067473683614
"156",0.000806003088363658
"157",0.000145622457613832
"158",9.10788438777765e-10
"159",0.0293027762345652
"160",0.0429552462489739
"161",4.04043368606812e-05
"162",5.05593289080276e-05
"163",0.000434071635302068
"164",3.8421556137297e-08
"165",6.36909414040353e-08
"166",7.68001836497636e-06
"167",0.00043356534834463
"168",9.2532640952458e-07
"169",0.00111597623834915
"170",2.76101663943511e-05
"171",2.86497059078976e-07
"172",0.000449036778671296
"173",7.44320992356266e-05
"174",6.7167600146927e-05
"175",0.000144103350106639
"176",4.28544418218977e-06
"177",6.49467197179017e-07
"178",0.000126448676843051
"179",4.9046878112335e-06
"180",1.84939417468202e-05
"181",0.0605338432296243
"182",2.05909947690709e-05
"183",0.000469284650593079
"184",7.67945396906938e-07
"185",0.000166811344013051
"186",0.116203940736689
"187",3.19441338821998e-05
"188",0.000244658131633721
"189",0.000382921351695429
"190",0.00598671936766321
"191",0.000102411765941072
"192",4.90069553124575e-06
"193",9.5215052358113e-05
"194",0.00438828015722196
"195",0.00145038550226602
"196",0.000973041484548198
"197",0.0230447240532302
"198",9.78293073841645e-07
"199",5.1537731698543e-06
"200",0.0839829512275682
