"","c.0.00322798793849197..0.0748202138359184..0.160401898433089.."
"1",0.00322798793849197
"2",0.0748202138359184
"3",0.160401898433089
"4",0.00496774021760671
"5",0.00130097733544525
"6",0.00224138819164911
"7",0.109558872099394
"8",0.013757756654112
"9",0.00810277784070596
"10",0.551481345935633
"11",0.659600981973736
"12",0.00459912685133514
"13",0.00760870672208086
"14",0.0206435516698433
"15",0.00248509766798056
"16",0.0848638280292831
"17",0.237508599856997
"18",0.269027433762785
"19",0.100155860326726
"20",0.139803360081808
"21",0.000216343516538125
"22",0.00429750291470359
"23",0.18325126996819
"24",0.0847919372400864
"25",0.00515812372224762
"26",0.008719010254525
"27",0.001427612898552
"28",0.0946201326040216
"29",0.00767019482502424
"30",0.00475741604424639
"31",0.0298251149431579
"32",0.0286232691674677
"33",0.0515318930043303
"34",0.22266972056149
"35",0.00325969329770839
"36",0.0288115241328571
"37",0.0933083578049437
"38",0.0650621818446996
"39",0.00222593319962787
"40",0.0520874193293454
"41",0.00271022989586513
"42",0.000621019889312056
"43",0.0116237853515489
"44",0.0385224188350088
"45",0.00880735697280736
"46",0.00491675808964559
"47",0.0778513388396956
"48",0.0746672792674776
"49",0.0291286842861675
"50",0.0457903670715147
"51",0.0170911183490621
"52",0.00184562576512142
"53",0.353568005546665
"54",0.00281317716352711
"55",0.155469399892058
"56",0.000823230310785088
"57",0.290477409979673
"58",0.0549233494017716
"59",0.253763628985916
"60",0.0444035978854441
"61",0.784801253866368
"62",0.00106168102276551
"63",0.00911744753602837
"64",0.0535044136912606
"65",0.10870145727676
"66",0.0124747651844247
"67",0.133402629684661
"68",0.0936785842792376
"69",0.00143512779546398
"70",0.322511880597373
"71",0.00111738742339165
"72",0.311675027365942
"73",0.0255758073528816
"74",0.958729064142622
"75",0.0049791543311881
"76",2.14980280680772e-05
"77",0.442482105086985
"78",0.0298210806908134
"79",0.300246099498653
"80",0.006855038622429
"81",0.205352926199893
"82",0.00253870747671089
"83",0.00155744956370035
"84",0.0054447066531732
"85",0.0618353866129225
"86",0.279348549391054
"87",0.0553255438183017
"88",0.0197614988091362
"89",0.00339998704604202
"90",0.0721696043904756
"91",0.0364182299083335
"92",0.0297607745630043
"93",0.244165045156226
"94",0.0105599146788547
"95",0.0192852013394547
"96",0.161743312482971
"97",0.0710731969820277
"98",0.0424057430401372
"99",0.699522833127321
"100",0.839745674841154
"101",0.231720239203078
"102",0.0524329349178062
"103",0.0247354959870617
"104",0.22338031695305
"105",0.159011763735169
"106",0.013824895201256
"107",0.0410702643323924
"108",0.0696742931705023
"109",0.00177324502076148
"110",0.137594390701067
"111",0.078053867972822
"112",0.824647389095274
"113",0.0636683884798824
"114",0.0382527910649796
"115",0.0438923698115119
"116",0.130923101983592
"117",0.00344283067730385
"118",0.0552874846718974
"119",0.486817319905018
"120",0.196182111535365
"121",0.000748693588403099
"122",0.0688300125976834
"123",8.91615558328583e-05
"124",0.00749234603073558
"125",0.0015018841621488
"126",0.0309866059026764
"127",0.0128673200930752
"128",0.0399524889045694
"129",0.00973926154204606
"130",0.0249239692581253
"131",0.00314294837951029
"132",0.00698518031306687
"133",0.037720884132744
"134",0.219794399892029
"135",0.566682065389186
"136",0.0229572886284261
"137",0.0875575254095588
"138",0.0405694534987633
"139",0.0504787996140057
"140",0.0728112510210304
"141",0.0365259795344409
"142",0.13357040484596
"143",0.00566275368548102
"144",0.00669513770851714
"145",0.0202324321112312
"146",0.00703896536588327
"147",0.00486740623851924
"148",0.0352352196651984
"149",0.0194541565113476
"150",7.31845413553121e-05
"151",0.0129469606740489
"152",0.0640474841684437
"153",0.00495632924136111
"154",0.00639646841728094
"155",0.277313880020463
"156",2.26755464746677e-05
"157",0.0152490690783665
"158",0.00123110559526351
"159",0.189646415181473
"160",0.0210988360937283
"161",0.340522570436062
"162",0.00390302744778139
"163",0.0023281614458281
"164",0.000317724562388238
"165",0.0840498689939055
"166",0.0218643733958816
"167",0.128605724716478
"168",0.0199866238758975
"169",0.291409237068846
"170",0.225041918899195
"171",0.131934355508802
"172",0.44236798576807
"173",0.112748375293245
"174",0.458060836930119
"175",0.013304238562744
"176",0.822874413046242
"177",0.287773789131693
"178",0.0149118825972533
"179",0.0261242888791461
"180",0.00624383663583109
"181",0.0115184221455099
"182",0.00963415142084739
"183",0.00666507681572654
"184",0.146370737636907
"185",0.0220773881584931
"186",0.166100855198122
"187",0.0295502999739953
"188",0.0237421454637369
"189",0.0446612466152057
"190",0.00525048332133184
"191",7.70383401599705e-06
"192",0.00229431331219873
"193",0.00470108466820872
"194",0.354024588572534
"195",0.000924536810013249
"196",0.000502877110669012
"197",0.00165943347818203
"198",0.0287738953052126
"199",0.129826087540861
"200",0.00254797121748877
