"","c.0.0180835145402778..0.20421913639485..0.0563114056877551..1.40827819692228e.05.."
"1",0.0180835145402778
"2",0.20421913639485
"3",0.0563114056877551
"4",1.40827819692228e-05
"5",0.00624425016430179
"6",0.0427694138986772
"7",0.000744632123276723
"8",0.00106801517353792
"9",0.0121452492110545
"10",0.277790350871241
"11",0.000587663739162651
"12",0.0363271765290927
"13",0.138851451785437
"14",0.0162544719942098
"15",0.000378611201071728
"16",0.0266424361936447
"17",0.891331391998806
"18",0.0473696831354558
"19",0.020156339554987
"20",0.0397205696768617
"21",0.0136479548402979
"22",0.000308922427115681
"23",0.0851838550250189
"24",0.00104419713912078
"25",0.000679459940425257
"26",0.00200244388139034
"27",0.0403662315905485
"28",0.106511828371739
"29",0.023655793545966
"30",0.00310432298749249
"31",0.626499182000737
"32",0.735290632694568
"33",0.00120559006137796
"34",0.00823479612947778
"35",0.11504699629641
"36",0.000527481478693457
"37",0.284303864551543
"38",2.77982462460841e-05
"39",0.0964864983150327
"40",0.0133185451957807
"41",0.0131939647819701
"42",0.354925206205636
"43",0.0267569153623271
"44",0.00469824737399718
"45",0.000466831920597016
"46",0.431204065052824
"47",0.169053251480728
"48",0.144733514842439
"49",0.0163638068486418
"50",0.210677953930877
"51",0.0044841738446886
"52",0.000325643219574386
"53",0.00394013618420403
"54",0.0268479096475389
"55",0.000110267190749457
"56",0.295057903157968
"57",0.0356588351470615
"58",0.000230026170777293
"59",0.0531281856139134
"60",0.00291375447290138
"61",8.86578281740832e-05
"62",0.0074012329487398
"63",0.0898415809094523
"64",0.0140569470510574
"65",0.184505733413086
"66",0.105787470928643
"67",0.148384460581549
"68",0.000445617533815794
"69",0.0136454923996932
"70",0.47434241654803
"71",0.00887934279731108
"72",0.00293660090046866
"73",0.0495182049584233
"74",0.114522108731042
"75",0.0192816796890133
"76",0.0206829931491838
"77",1.9345091202023e-06
"78",0.00456413928759607
"79",0.0570597360181107
"80",0.146864760137196
"81",0.1305450596013
"82",0.0108384313145668
"83",0.0142276523504901
"84",0.0312983131934267
"85",0.000384228874348121
"86",0.0548762641681061
"87",0.347984728069337
"88",0.0389080640947811
"89",0.111776761992464
"90",0.0238148722306401
"91",0.145880242846068
"92",0.00443599166605507
"93",0.030504985959466
"94",0.000288626384618627
"95",0.197252392087955
"96",0.00318606725780445
"97",0.000749799791064719
"98",0.00459675596573366
"99",0.962996451953612
"100",0.000382745551413391
"101",0.78128976551089
"102",0.00409921581022206
"103",0.475868161330642
"104",0.052551892010639
"105",0.000939870009397248
"106",0.16900783582166
"107",0.053673512382416
"108",0.00966420333944184
"109",0.00277840186451019
"110",0.00101420648568518
"111",0.00817339140267277
"112",0.29107707472077
"113",0.00649548108724822
"114",0.00722412871747152
"115",0.0485635526410861
"116",0.00267397986742724
"117",0.00268483103032917
"118",0.130903183409557
"119",0.287302406183945
"120",0.0338220587147304
"121",0.0143102134806558
"122",0.464918211451016
"123",0.0111040510041991
"124",0.150401740689011
"125",0.602172711942433
"126",0.145570898727284
"127",0.0037230039163861
"128",0.122698632318836
"129",0.118438071088052
"130",0.118677561700618
"131",0.00076704530492991
"132",0.00872696341201962
"133",0.00968004845927507
"134",0.00353843524279691
"135",0.00020656494827886
"136",0.0267846263551473
"137",0.0261903629420734
"138",0.0162321967656915
"139",0.489549226856051
"140",0.00488623249579837
"141",0.188469353505093
"142",0.0376767443337113
"143",0.221201556609927
"144",0.347697857797768
"145",0.00151087780560727
"146",0.00288660053247012
"147",0.102719984820611
"148",0.404712472568271
"149",0.00717964097265177
"150",0.00352859318457008
"151",0.0870290188189595
"152",0.200671073692938
"153",0.0396568113560804
"154",0.0257536099719413
"155",0.981186754184277
"156",0.0300556649341126
"157",0.0149671159725357
"158",0.658646266427242
"159",0.0404412162924214
"160",0.253796707843802
"161",0.016768518777902
"162",0.0948051100757607
"163",0.0101994281325929
"164",0.0473134978297903
"165",0.063818971350392
"166",0.00609535111326425
"167",0.000144588523118992
"168",0.0258687007602029
"169",0.0116955245946932
"170",0.00224951172622801
"171",0.417018521958902
"172",0.125321078377827
"173",0.440277460526197
"174",0.361586897355802
"175",2.17254010336459e-06
"176",0.00224484831588809
"177",0.0334370649186972
"178",0.0052575253365454
"179",0.863175304384256
"180",0.019356975661766
"181",0.295254997903628
"182",0.979595562511395
"183",0.000216881182309986
"184",0.00256741514058422
"185",0.000210076215691083
"186",0.00847042199005203
"187",0.0888399086003779
"188",0.0227378887872323
"189",0.00241919150694138
"190",0.128969350649551
"191",0.00061859706598264
"192",0.00136788002444012
"193",0.196774741813836
"194",0.0643163096504029
"195",0.338800184021736
"196",0.847000810046454
"197",0.0590689434089439
"198",0.0140374018767219
"199",0.00629506518014823
"200",0.334133558275657
