"","c.2.24181535581094e.06..1.94099910549165e.06..0.000107250362102523.."
"1",2.24181535581094e-06
"2",1.94099910549165e-06
"3",0.000107250362102523
"4",7.04241301370751e-05
"5",0.000342621413797692
"6",4.25265302128905e-06
"7",4.13701747699437e-08
"8",0.010993903893717
"9",3.4309384981556e-05
"10",5.93274150357832e-06
"11",0.0011405526798228
"12",6.13035096124278e-08
"13",0.00634251631807335
"14",6.76981870752991e-05
"15",0.017754617722459
"16",6.64460803692852e-06
"17",0.00245362857635527
"18",0.00532553190850738
"19",3.96851311632199e-06
"20",3.98231905347483e-05
"21",0.00040832095213002
"22",2.99763880091469e-07
"23",2.34908742564887e-06
"24",0.108536445570548
"25",4.18381836647237e-06
"26",0.000180870155125624
"27",0.000232217231034398
"28",0.000694866424746415
"29",5.78837733035499e-06
"30",0.000116702840656788
"31",0.000116702840656788
"32",0.000179575977820088
"33",2.72788408281305e-06
"34",0.0724162437292869
"35",1.03286931036948e-05
"36",6.00116378813764e-05
"37",0.00293368001508716
"38",0.000488868870994593
"39",4.94687906964016e-06
"40",3.26999366050142e-05
"41",8.36580371097615e-05
"42",6.65726977053943e-09
"43",0.0101744551045837
"44",2.06266781169516e-09
"45",1.19359923567656e-05
"46",0.000172155144320501
"47",1.23712091015846e-07
"48",2.02881946812597e-09
"49",0.00123157832381334
"50",3.42614579641715e-07
"51",5.11532889088052e-05
"52",1.00506578040686e-05
"53",0.000409974883179587
"54",9.40287055350515e-07
"55",0.00131649957211401
"56",4.93022874036937e-05
"57",3.06588405425778e-05
"58",3.09879667167408e-05
"59",0.00252242644781874
"60",0.000109650484612098
"61",4.0025833734693e-05
"62",1.76898234990337e-06
"63",0.000514080568163092
"64",6.83439438720951e-08
"65",6.48937661667906e-07
"66",5.67717561451304e-07
"67",1.4717000297586e-07
"68",9.36394571829147e-07
"69",1.15022174562753e-05
"70",1.15022174562753e-05
"71",8.89251257889133e-08
"72",0.00182686930210126
"73",0.00062412462177667
"74",1.43333944875159e-06
"75",1.10534526573773e-08
"76",2.98570415586423e-06
"77",2.12584997162952e-05
"78",1.00205178778377e-05
"79",0.00066310753958522
"80",6.82926789994102e-07
"81",0.00199611451889154
"82",0.000475791889227954
"83",3.6186491736001e-06
"84",3.01049329368764e-06
"85",0.00253906375892188
"86",1.96083167890047e-06
"87",1.25899435807523e-05
"88",1.00271281673772e-06
"89",0.0200832059678276
"90",0.000490878847343487
"91",6.00243469343161e-06
"92",0.000251295225780371
"93",1.84304876829735e-05
"94",5.4413353414921e-06
"95",0.0165704104069992
"96",7.08320297335225e-05
"97",1.3646797369914e-05
"98",1.51596058991767e-08
"99",0.000184211759722012
"100",0.0528110131566307
"101",1.00737255050124e-05
"102",0.00121237410192247
"103",0.000382391190472111
"104",3.01256328144447e-05
"105",1.57840425408855e-05
"106",4.7995572288669e-06
"107",0.000271621871132642
"108",4.75905107315549e-09
"109",4.75905107315549e-09
"110",0.00150996378167485
"111",4.53185540499575e-05
"112",9.54577788070716e-05
"113",1.83354820943784e-05
"114",1.31119415621157e-06
"115",0.000200999053704122
"116",0.0321991470466242
"117",4.35582907374761e-09
"118",0.000647529531047444
"119",1.64412724906104e-05
"120",3.23777168483437e-05
"121",0.000581050382197049
"122",3.23410625627319e-05
"123",0.00108111243069825
"124",8.12225372640129e-07
"125",1.30385070350183e-05
"126",0.000286840200509706
"127",1.70073219944114e-07
"128",4.59631874240136e-06
"129",1.20307939815323e-07
"130",5.66202532394367e-06
"131",0.000264363723052203
"132",2.37544443424812e-05
"133",2.40870256916315e-05
"134",0.000331800185015844
"135",7.74144218593906e-07
"136",0.00362586624567853
"137",0.00606564093833933
"138",8.2985167522364e-05
"139",4.46309151505994e-05
"140",7.5547235504682e-07
"141",1.11113636874176e-05
"142",1.79562955058138e-07
"143",3.99276319032753e-06
"144",1.1410707757538e-05
"145",0.000199928659022776
"146",8.51298113586691e-05
"147",0.00570915982309031
"148",0.00570915982309031
"149",2.79737169572392e-05
"150",0.000125377391136853
"151",3.69287994967093e-05
"152",1.18789649167152e-05
"153",5.13034641849784e-06
"154",3.95971795881344e-05
"155",3.00442679704373e-05
"156",5.25397094405889e-07
"157",0.00167613034531063
"158",5.75276945991852e-06
"159",0.00183188042299738
"160",0.0122323173293459
"161",0.000718769478631743
"162",9.47169733452873e-07
"163",2.29439956196751e-05
"164",1.18587587441359e-06
"165",7.75485085194981e-05
"166",9.49952340670066e-07
"167",3.91943213307813e-05
"168",0.00020207651941747
"169",5.34432882705643e-05
"170",1.47744408856399e-06
"171",1.86455108846459e-07
"172",4.69490390815108e-07
"173",2.17879896898383e-05
"174",1.88386569180908e-08
"175",0.00212691465277666
"176",7.93365973897779e-05
"177",4.26913820183826e-07
"178",0.00409859331494008
"179",0.000951647684058972
"180",4.37107264917542e-06
"181",4.98417929236949e-06
"182",0.00041733533958064
"183",0.0743932892793628
"184",4.01458903602837e-06
"185",6.78643915461205e-05
"186",2.46839600653368e-05
"187",2.46839600653368e-05
"188",5.7567684111058e-06
"189",0.00408362817456636
"190",5.67720259808866e-05
"191",0.00495415228885807
"192",1.98795549922482e-05
"193",0.000336742097246176
"194",7.12628255448903e-06
"195",3.41303967861282e-08
"196",0.000164441303241519
"197",0.00134198653329356
"198",0.00884921209769175
"199",7.73335931445063e-05
"200",0.000805634991421692
