"","c.0.0111424241971255..3.09711596775988e.08..0.00381714386775738.."
"1",0.0111424241971255
"2",3.09711596775988e-08
"3",0.00381714386775738
"4",0.0712899710755871
"5",0.119148791090249
"6",0.00163236891357171
"7",0.000383704106930057
"8",0.00812077827798795
"9",0.00240550760039256
"10",0.0514622533455153
"11",0.191292328064405
"12",0.00380122597151452
"13",0.545231967350812
"14",8.79807486032255e-06
"15",0.0219915648289824
"16",0.0148980351093289
"17",0.000297892317481418
"18",0.00132131540000889
"19",0.0200092938636421
"20",0.00262441136283334
"21",0.107596168758011
"22",0.0201592724726807
"23",0.00118985633958682
"24",0.0495237484255578
"25",0.00664270798721406
"26",2.5069704731922e-05
"27",0.0389218160141281
"28",0.001117445365534
"29",0.131586212935101
"30",0.000133550748897213
"31",0.00852254022943997
"32",0.014832705457255
"33",0.00163150897140392
"34",0.000206359692959818
"35",0.252177967085569
"36",0.0726149036344644
"37",3.96429184608153e-05
"38",0.00692206457266098
"39",0.0210725030299292
"40",0.0312459037975779
"41",0.125497256136605
"42",0.00100067117379126
"43",0.00608173724724634
"44",0.0178066069946501
"45",0.000251025256301699
"46",0.153774831339228
"47",0.000200770384358441
"48",0.0109471522429779
"49",9.56255416638897e-05
"50",0.00887979493437602
"51",0.0443069839492411
"52",0.000461331579426446
"53",0.0177591436145374
"54",0.00241421854246092
"55",0.0130193732354277
"56",7.12285415565781e-05
"57",0.000443419868513193
"58",0.000923361823162023
"59",0.276951101534592
"60",0.0321917096468691
"61",0.00222632648958008
"62",0.000219535284041497
"63",0.00766838748763085
"64",0.0362575205474329
"65",0.150943364612519
"66",3.34300561462219e-05
"67",0.0199950394806829
"68",0.00142536535814074
"69",0.00192804615450768
"70",5.24917763175623e-05
"71",0.000779815491936085
"72",0.00107197950169233
"73",0.00105173926133683
"74",0.0526254846633821
"75",0.000421705774829609
"76",0.00113742657967776
"77",0.158564993094682
"78",0.000863658981745616
"79",0.318709359667887
"80",0.000373669809914172
"81",0.00489640334418274
"82",0.000767234618916129
"83",0.00505347518462498
"84",0.027843842924177
"85",0.00292487703222472
"86",0.00299822657716951
"87",0.014462251165955
"88",0.0140219249493753
"89",0.002594262378634
"90",0.00183039949057064
"91",0.0709628199076233
"92",0.000125362550667378
"93",0.0129841268671121
"94",0.0045003321923829
"95",1.91073710269558e-05
"96",0.000960173813982665
"97",0.2188437448326
"98",0.00060599306242825
"99",0.00359821183003335
"100",0.000845195170787659
"101",0.00427940722629853
"102",0.0642170643629943
"103",0.00264732354026047
"104",0.0369724392302711
"105",0.0382084032827879
"106",0.0175725826317202
"107",0.00176223693687325
"108",0.000438289869424592
"109",0.146386622136995
"110",0.000412572434556792
"111",0.00547444564503039
"112",0.0867949872760015
"113",0.00923178394928605
"114",0.000278076628380116
"115",0.0463641072155139
"116",0.0328146873727932
"117",0.0328207043213752
"118",0.000110034308854439
"119",0.0127163097738657
"120",4.87892619548997e-05
"121",1.25321883115593e-06
"122",0.000220244139643475
"123",0.00961688049481631
"124",9.36032861354393e-06
"125",0.00894991289978887
"126",0.321085514791497
"127",0.00557599388397527
"128",0.0029837161794874
"129",0.00389950372521605
"130",0.000165925021081141
"131",0.0637378854626935
"132",0.0390290098701687
"133",0.0601614142798756
"134",0.00244796932240746
"135",0.0577824605670421
"136",9.61654879190741e-05
"137",0.00394523899567579
"138",0.0338266887449786
"139",0.0778347928581897
"140",5.7526733018029e-06
"141",9.73511706907355e-05
"142",0.00103111337945506
"143",1.47378762772478e-05
"144",0.10608135571116
"145",0.00110536935022534
"146",0.0017607900889461
"147",0.000351137408226759
"148",0.347597944530412
"149",7.08417032363908e-05
"150",0.102621513909015
"151",3.66411475547069e-06
"152",0.00209298140434242
"153",0.0831402692586621
"154",0.0168820495295242
"155",0.00189102301853126
"156",0.0052907729813796
"157",0.0186086710067923
"158",0.000505258509204066
"159",0.0334073135668492
"160",0.26550752408333
"161",0.155107696034332
"162",0.00957015006987923
"163",0.00213022480373878
"164",0.00124963514209269
"165",0.00200997658059333
"166",0.0734736332381506
"167",0.0101166166856444
"168",0.358595542995005
"169",0.0516133044686936
"170",0.000329957516224471
"171",0.222990362489653
"172",0.000621557716419329
"173",0.000176309498573132
"174",0.000603483725665522
"175",0.00518353697907934
"176",0.00208673412772035
"177",0.122750615589769
"178",0.0681902068191227
"179",0.000178393175197808
"180",0.0032833133712489
"181",0.068266655692515
"182",0.000629274206377405
"183",0.00443051060544659
"184",2.24396340954193e-05
"185",0.00287409289746171
"186",0.000277330720065131
"187",0.224944093054909
"188",0.0552946213784969
"189",0.038705880696274
"190",0.0143235554124697
"191",2.47646626478792e-05
"192",0.000507084580376672
"193",0.0236484558968066
"194",0.0032298091407219
"195",0.00482851373286418
"196",0.00442381333911827
"197",0.000617486954921649
"198",0.00101764536547763
"199",0.0328894197961759
"200",0.00288607074989046
