"","c.0.0971334016390291..0.000576507438805922..1.32824200662387e.06.."
"1",0.0971334016390291
"2",0.000576507438805922
"3",1.32824200662387e-06
"4",0.00025595464897159
"5",0.00528599660849455
"6",0.00640419713727393
"7",0.00471847446217669
"8",0.000517453665803241
"9",0.000263751078307085
"10",0.0463878277984392
"11",9.05264004711811e-06
"12",0.00125149564402423
"13",0.000392731594111716
"14",6.37636500553276e-05
"15",0.00116659554176009
"16",2.79478327932647e-05
"17",0.00116205417710655
"18",1.39307728284672e-06
"19",1.10527293581502e-05
"20",1.34193622313829e-06
"21",3.18439655389391e-05
"22",0.00217956618098053
"23",3.26465900999396e-05
"24",2.32939927620868e-06
"25",6.49480039734962e-05
"26",0.0080165264334354
"27",1.28075944095683e-05
"28",3.65383513165947e-05
"29",0.00339464746356176
"30",0.000151200601861868
"31",0.000623254464401917
"32",0.00388258417777025
"33",0.000593621103558427
"34",0.000324152529468567
"35",0.000334355054401528
"36",1.80308564161181e-06
"37",4.70617199262899e-07
"38",0.00672723758031199
"39",0.000170691123014968
"40",2.68300780754891e-05
"41",0.000707269847197288
"42",0.013820286723969
"43",0.00036703303511672
"44",0.00326678418484761
"45",3.31532430781506e-06
"46",5.90151585800126e-05
"47",0.000200127159361295
"48",0.00104715072908483
"49",0.00145875242374287
"50",0.000609125509833084
"51",0.083586546722591
"52",0.00113452620203278
"53",0.000199130128810157
"54",0.00741630239074886
"55",0.0214623924317427
"56",7.47592680721133e-07
"57",0.000302074234397927
"58",5.15293541066135e-05
"59",3.44343244285009e-05
"60",0.000545059902418984
"61",0.000194560753317414
"62",4.7614265567582e-05
"63",0.00726623350415391
"64",0.00417631953140513
"65",0.000102822330367942
"66",3.89872375884478e-05
"67",0.00375219901539423
"68",8.50316247048448e-07
"69",0.00336757861462971
"70",0.00351509771947866
"71",0.0907668924409518
"72",0.00553465171674399
"73",0.0161170935949288
"74",4.92887563346699e-05
"75",0.00990736617060353
"76",0.00965505202773231
"77",3.82316652963792e-06
"78",0.025432215242364
"79",2.17866655824629e-05
"80",0.000691430873041769
"81",8.13267775908016e-05
"82",3.38936184266297e-06
"83",0.000501879429781264
"84",8.59858455728544e-05
"85",6.41203162305355e-05
"86",0.000879364458808827
"87",0.132721573082032
"88",0.00195389810450994
"89",0.0230121782592087
"90",0.00048870504419079
"91",9.25760841407668e-05
"92",0.00183478547811847
"93",2.42701785391388e-05
"94",2.6824393351351e-05
"95",4.09775961800451e-05
"96",0.000634925354962669
"97",1.82458200403135e-05
"98",0.000819439809297733
"99",0.00128837992678411
"100",0.00305258126456866
"101",0.000183638547251146
"102",0.00239488881417058
"103",8.61091392112351e-09
"104",0.00212138340639104
"105",0.00640385694413103
"106",2.73550834837308e-06
"107",0.0525758188945085
"108",0.000321986652006179
"109",5.78592566775024e-07
"110",3.56930835550762e-06
"111",0.0204571463948188
"112",0.00231729872813228
"113",0.000268339862742269
"114",4.11224907567442e-05
"115",0.019495740871325
"116",0.00150618087642991
"117",0.00321957000218504
"118",0.0124502614516389
"119",0.00123801156290753
"120",0.000659563746585004
"121",7.4412132160557e-06
"122",0.0585300478496234
"123",0.000837263601215994
"124",0.000237816329309977
"125",0.0336811248071429
"126",8.62731895151779e-06
"127",0.00023684061968994
"128",0.000610101766535848
"129",0.0152907229141524
"130",1.5726804920066e-05
"131",0.0987529708284592
"132",0.000197176741274644
"133",0.0326697798422397
"134",0.00907334382076871
"135",0.00162597578053615
"136",0.00528276801987085
"137",0.00284806671795968
"138",0.0593342185159001
"139",0.011077238906344
"140",0.000309997913019075
"141",0.0139105413260401
"142",0.0249938279295655
"143",0.0174293502340249
"144",0.000117974567453058
"145",0.00153502852335242
"146",0.00041686057942758
"147",0.0023445224188367
"148",0.0321688082611553
"149",4.50710260405063e-05
"150",0.000137144885751911
"151",3.84795679452662e-06
"152",0.00468422050025364
"153",0.00253698711446263
"154",0.00165408328140951
"155",0.000359789067935144
"156",0.000871298363114458
"157",0.000531528656753976
"158",0.0020880649039574
"159",0.000985643513700657
"160",9.75097949289175e-05
"161",8.36945314204281e-05
"162",0.000380961958921392
"163",0.000182058001363016
"164",0.015157328743238
"165",2.22578759135684e-07
"166",0.000751943176244113
"167",0.00387711923675957
"168",2.05508578456932e-05
"169",0.00650792784578317
"170",8.3705220501259e-07
"171",0.0077845458861901
"172",0.00272564389143387
"173",0.00606389458146261
"174",0.000998390358479866
"175",0.0271141036458651
"176",6.39215381714706e-05
"177",0.000774716084266036
"178",3.43201193223468e-05
"179",0.000236246962375616
"180",1.17304922318386e-05
"181",0.0044490985719266
"182",0.0276782448080466
"183",0.0383949251512761
"184",0.00573755703395124
"185",0.00253823947625227
"186",0.000252532755414214
"187",0.00174709189108891
"188",8.98487358761281e-07
"189",0.000425047091465878
"190",6.56286960634075e-05
"191",1.41725237494573e-05
"192",7.41124913053817e-05
"193",0.000301388885604638
"194",0.0143720253565228
"195",0.00866610597683403
"196",0.0129698224769659
"197",0.000255668099231607
"198",6.81548265258553e-05
"199",0.000177118917605598
"200",0.00306416221400183
