"","c.0.114085904158977..0.0223582267229379..0.0122182751274695.."
"1",0.114085904158977
"2",0.0223582267229379
"3",0.0122182751274695
"4",0.745445077319819
"5",0.0480948615690529
"6",0.113414666173334
"7",0.0107564953211832
"8",0.0419922467742982
"9",0.261228271342241
"10",0.000976254879251346
"11",0.0621747718582464
"12",0.0205787102695564
"13",0.0864418381977687
"14",0.0108599230352186
"15",0.000182779379323799
"16",0.709035162474196
"17",0.160058965763068
"18",0.00450400588251583
"19",0.127360679051774
"20",0.00046170041140937
"21",0.000313073861654109
"22",0.00173681774825502
"23",0.0364320544428462
"24",0.697714816203332
"25",0.0350699119571144
"26",0.150636447387393
"27",0.00285512033459526
"28",0.565613196553588
"29",0.0128249213782286
"30",0.0574707907863916
"31",0.0977881059864317
"32",0.000770474230978867
"33",0.0533777487138084
"34",0.241596639910548
"35",0.310612428607422
"36",0.324078363577429
"37",0.0199337015922635
"38",0.189630022027031
"39",0.255396157490312
"40",0.0675925416595003
"41",0.0502235451950388
"42",0.239954961591919
"43",0.00586810170784498
"44",0.381957641767465
"45",0.0971486499771426
"46",0.107549750064642
"47",0.301217154916946
"48",0.50016898889397
"49",0.454735810314157
"50",0.211008748831528
"51",0.00505554688999241
"52",0.00151222355131152
"53",0.0730717528061816
"54",0.275585458536237
"55",0.00307779882647157
"56",0.0210206359844054
"57",0.0456016489408781
"58",0.138239637947113
"59",0.0380184317494332
"60",0.246742006629664
"61",0.0633167513737981
"62",0.000389353138006337
"63",0.103645036793399
"64",0.307224863793129
"65",0.0394722294824563
"66",4.34418725997422e-06
"67",0.0263263275568591
"68",0.0480539789340149
"69",0.0343064080257576
"70",0.000971621814086721
"71",0.0204276262237854
"72",0.42827799718269
"73",0.000102690862047945
"74",0.162859942692978
"75",0.859599740844184
"76",0.94165987932496
"77",0.741952783114347
"78",0.0433192292721493
"79",0.24558168069997
"80",0.776721477630388
"81",0.0796407328134017
"82",0.00224892063875849
"83",0.00231740685342569
"84",0.000416511906559144
"85",0.00144364637435551
"86",0.472453159388503
"87",0.847610975121715
"88",0.941487157398111
"89",0.281356308043807
"90",0.0166051229757668
"91",0.00788015329897085
"92",0.0360564125620871
"93",0.000471139469713029
"94",0.893691337021828
"95",0.00217735914375014
"96",0.06560000910162
"97",0.00498815608270833
"98",5.84553377726651e-05
"99",0.00552437228076611
"100",0.0218118034818085
"101",0.00795648297148088
"102",0.503822394847747
"103",0.0693519901014894
"104",0.0465119754981159
"105",0.013404788678582
"106",0.000164636318276772
"107",0.00143737955912055
"108",0.00456318178009374
"109",0.010080880187673
"110",0.000907502708402842
"111",0.00397516822666404
"112",0.421104916776329
"113",0.0846196621288852
"114",0.000683187497658425
"115",0.00248202779440635
"116",0.0242095394884865
"117",0.179957640923368
"118",0.199404260827785
"119",0.348393156184778
"120",0.0188867229134445
"121",0.892763625076169
"122",0.000647754387082843
"123",0.0883540327667592
"124",0.0152871308045798
"125",0.139900271161383
"126",0.0336828579002338
"127",0.0190005639630017
"128",0.0627188524795742
"129",0.206718450198431
"130",0.647031366869252
"131",0.00614347913647835
"132",0.0805578881706286
"133",0.128399089762163
"134",0.123774713662045
"135",0.0372766923117583
"136",0.189021591880691
"137",0.0111236064026165
"138",0.167967785592627
"139",0.0122320045652938
"140",0.00762674397211547
"141",0.13423789733439
"142",0.0682467069880612
"143",7.47044517866785e-05
"144",0.0388598558238315
"145",0.0345465894695102
"146",0.0366366102209493
"147",0.00728480902568728
"148",0.00550388246377353
"149",0.188824583427203
"150",0.0100801976157552
"151",0.00504774201160271
"152",0.0212896832005036
"153",0.00865614323399325
"154",0.0567866882006722
"155",0.0120840362019442
"156",0.0976758855986662
"157",0.284908796179199
"158",0.574418728501201
"159",0.119262647804853
"160",0.534661511441605
"161",0.000647512130552915
"162",0.022401589763751
"163",0.0895642708561992
"164",0.00366650249872676
"165",0.221115864423437
"166",0.280426055897219
"167",0.00336243527901409
"168",0.673437581857562
"169",0.558452628105007
"170",0.0777981122251934
"171",0.303239904320281
"172",0.0114081294070233
"173",0.0421145238007751
"174",0.0256146580704797
"175",0.300561208768457
"176",0.0416469620610922
"177",0.0902528223510457
"178",0.0227107431856976
"179",0.204357447757796
"180",0.11440246772463
"181",0.0295753837842777
"182",0.000121078990790409
"183",0.0338056884310505
"184",0.0940524720851436
"185",0.100378830968728
"186",0.154694615782286
"187",0.0332193338041567
"188",0.0589401278326467
"189",0.37859652165668
"190",0.287390459276861
"191",0.0480453080317936
"192",0.0531768607400724
"193",0.00444697946162631
"194",0.00354998806314107
"195",0.119702275494396
"196",0.273811042174444
"197",0.195855233123036
"198",0.317209101984226
"199",0.00209887280739224
"200",0.119489295860836
