"","c.0.0564121697705247..0.445643347158204..0.624776008244592..0.431425932970143.."
"1",0.0564121697705247
"2",0.445643347158204
"3",0.624776008244592
"4",0.431425932970143
"5",0.0922110781216233
"6",0.0234423867935229
"7",0.0616542219232913
"8",0.19915758591685
"9",0.31071467468119
"10",0.178591747507792
"11",0.474060217707266
"12",0.648215558284891
"13",0.147800981943897
"14",0.0834200836911742
"15",0.26025871149065
"16",0.0566600594439723
"17",0.331064295614217
"18",0.0404614006048582
"19",0.169153711145818
"20",0.362205509536527
"21",0.966003067185281
"22",0.0529684854450282
"23",0.014838885040078
"24",0.983298366381596
"25",0.138601885126806
"26",0.00269814266068689
"27",0.0568894946394971
"28",0.190917718205816
"29",0.166154555386476
"30",0.101078523801698
"31",0.104559577551409
"32",0.20005517042543
"33",0.106426073125131
"34",0.164322897107434
"35",0.421224165657608
"36",0.0749156879970484
"37",0.243511960225651
"38",0.2387439264481
"39",0.0295841973992336
"40",0.0792535405888125
"41",0.519702409717716
"42",0.281443457220818
"43",0.274453772589614
"44",0.202457675043578
"45",0.117130179956428
"46",0.74181649689281
"47",0.226222943923363
"48",0.260845249080721
"49",0.0639149165038211
"50",0.018564128987998
"51",0.121801197776383
"52",0.833048901509393
"53",0.00194893475336342
"54",0.00667567226440681
"55",0.0070225618668553
"56",1.41664166712301e-06
"57",0.0407501103197451
"58",0.370040250150894
"59",0.00447784308441162
"60",4.40137181754283e-05
"61",0.074181920208188
"62",0.538867952008183
"63",0.271901091265511
"64",0.00570199584635359
"65",0.162084613357245
"66",0.000883883151900357
"67",0.382187649919925
"68",0.0826635976861821
"69",0.521919241873463
"70",0.084203897270415
"71",0.407236139493808
"72",0.899593300623925
"73",0.783547679023655
"74",0.362205998210192
"75",0.414716818876493
"76",0.653747820300328
"77",0.0684382977122542
"78",0.177707832943619
"79",0.17288869597198
"80",0.000925842331650195
"81",0.313953768752972
"82",0.510424540713261
"83",0.242835936256134
"84",0.0183869705976974
"85",0.296065766170092
"86",0.491313307960266
"87",0.0515835761776864
"88",0.356460905703768
"89",0.524363836423411
"90",0.00642914664828776
"91",0.378307922607865
"92",0.100517446315339
"93",0.129844035009487
"94",0.241493644877651
"95",0.104898316701886
"96",0.0822989966948926
"97",0.468125729083022
"98",0.292425414006572
"99",0.258685581969037
"100",0.176517984156038
"101",0.0288256053824637
"102",0.162910646954814
"103",0.936275726690727
"104",0.398136928945021
"105",0.168294408951117
"106",0.72103546032541
"107",0.00981886694924651
"108",0.0268444195769753
"109",0.497047251910179
"110",0.0788662084750606
"111",0.421292360562566
"112",0.101077019357098
"113",0.151088438800954
"114",0.0241352913750807
"115",0.0140882872475032
"116",0.185555632913426
"117",0.922215499391532
"118",0.0163524440047482
"119",0.0995491186029322
"120",0.2638981247478
"121",0.34323646752393
"122",0.162492615223346
"123",0.379784257895217
"124",0.0465447221373363
"125",0.00944149044398251
"126",0.192881757641918
"127",0.324321538494003
"128",0.109121069642426
"129",0.0138444034802058
"130",0.00154376831620297
"131",0.0490589831858517
"132",0.0103521598664949
"133",0.0282321678054582
"134",0.990286038711793
"135",0.287213323517122
"136",0.0346062037382008
"137",0.376723320160164
"138",0.155698490754097
"139",0.295837229774125
"140",0.281267161002216
"141",0.0213342824934223
"142",0.234659711664741
"143",0.305267897366003
"144",0.0513866512749358
"145",0.420783960464312
"146",0.0115728050634629
"147",0.000460706794626346
"148",0.599676440288693
"149",0.425818977603215
"150",0.283794634625052
"151",0.0566801853014033
"152",0.0413539834316947
"153",0.0483100518196161
"154",0.0600199267793758
"155",0.00222336881259029
"156",0.0202206074374539
"157",0.113395052555554
"158",0.74860319408522
"159",0.549777045797881
"160",0.00324929112165814
"161",0.0716748937581843
"162",0.12585248094876
"163",0.501065216788898
"164",0.0206334767225808
"165",0.19658146822628
"166",0.118728195997462
"167",0.00043275626979282
"168",0.22569873729577
"169",0.803066523664296
"170",0.612742396814252
"171",0.515114225193106
"172",0.26635145990873
"173",0.631757856802709
"174",0.00838784561206389
"175",0.370700203699731
"176",0.130462570291381
"177",0.802074256490397
"178",0.69420748797681
"179",0.0771798715426534
"180",0.0153505474856559
"181",0.84734627402277
"182",0.0492687754030333
"183",0.324912900792469
"184",0.184105837030551
"185",0.031545104553903
"186",0.414527088182877
"187",0.0362651394836455
"188",0.238538207676145
"189",0.0647595358537753
"190",0.187149478307076
"191",0.620034150142992
"192",0.00218859759471059
"193",0.241495846965054
"194",0.171409524041731
"195",0.0107994240760491
"196",0.0175009077874374
"197",0.0893390745878243
"198",0.160753590511807
"199",0.952077410410913
"200",0.107353294742774
